Code,Indicator Name,Long definition,Source
LOGS_CMR,"Logs, Cameroon, $/cum, current","Logs (West Africa), sapele, high quality (loyal and marchand), 80 centimeter or more, f.o.b. Douala, Cameroon beginning January 1996; previously of unspecified dimension",International Tropical Timber Organization; Marches Tropicaux et Mediterraneens; World Bank.
KLOGS_CMR,"Logs, Cameroon, $/cum, constant 2000$",,World Bank.
LOGS_MYS,"Logs, Malaysia, $/cum, current","Logs (Malaysia), meranti, Sarawak, sale price charged by importers, Tokyo beginning February 1993; previously average of Sabah and Sarawak weighted by Japanese import volumes",International Tropical Timber Organization; Mokuzai Shikyo Geppo; World Bank.
KLOGS_MYS,"Logs, Malaysia, $/cum, constant 2000$",,World Bank.
MAIZE,"Maize, $/mt, current","Maize (US), no. 2, yellow, f.o.b. US Gulf ports",US Department of Agriculture; World Bank.
KMAIZE,"Maize, $/mt, constant 2000$",,World Bank.
BEEF,"Meat, beef, cents/kg, current","Meat, beef (Australia/New Zealand), chucks and cow forequarters, frozen boneless, 85% chemical lean, c.i.f. U.S. port (East Coast), ex-dock, beginning November 2002; previously cow forequarters","Meat & Livestock Australia, Meat and Livestock Weekly; The National Provisioner; US Department of Agriculture;  World Bank."
KBEEF,"Meat, beef, cents/kg, constant 2000$",,World Bank.
CHICKEN,"Meat, chicken, cents/kg, current","Meat, sheep (New Zealand), frozen whole carcasses Prime Medium (PM) wholesale, Smithfield, London  beginning January 2006; previously Prime Light (PL)",US Department of Agriculture; Bloomberg; World Bank.
KCHICKEN,"Meat, chicken, cents/kg, constant 2000$",,World Bank.
LAMB,"Meat, sheep, cents/kg, current","Meat, chicken (US), broiler/fryer, whole birds, 2-1/2 to 3 pounds, USDA grade ""A"", ice-packed, Georgia Dock preliminary weighted average, wholesale",Meat Trade Journal; World Bank.
KLAMB,"Meat, sheep, cents/kg, constant 2000$",,World Bank.
IMETMIN,"Metals and minerals, 2000=100, current$","Metals and minerals index includes aluminum, copper, iron ore, lead, nickle, tin and zinc.",World Bank.
KIMETMIN,"Metals and minerals, 2000=100, constant 2000$",,World Bank.
NGAS_JP,"Natural gas LNG, $/mmbtu, current","Natural gas LNG (Japan), import price, cif, recent two months' averages are estimates.",World Gas Intelligence; World Bank.
KNGAS_JP,"Natural gas LNG, $/mmbtu, constant 2000$",,World Bank.
NGAS_EUR,"Natural gas, Europe, $/mmbtu, current","Natural Gas (Europe), average import border price, including UK.  As of April 2010 includes a spot price component.  Between June 2000 - March 2010 excludes UK",World Gas Intelligence; World Bank.
KNGAS_EUR,"Natural gas, Europe, $/mmbtu, constant 2000$",,World Bank.
NGAS_US,"Natural gas, US, $/mmbtu, current","Natural Gas (U.S.), spot price at Henry Hub, Louisiana",Thomson Reuters Datastream; The Wall Street Journal; World Bank.
KNGAS_US,"Natural gas, US, $/mmbtu, constant 2000$",,World Bank.
NICKEL,"Nickel, $/mt, current","Nickel (LME), cathodes, minimum 99.8% purity, settlement price beginning 2005; previously cash price","Platts Metals Week, Thomson Reuters Datastream; World Bank."
KNICKEL,"Nickel, $/mt, constant 2000$",,World Bank.
INONFUEL,"Non-energy commodities, 2000=100, current$","Non-energy index, a Laspeyres Index with fixed weights based on 2002-2004 average developing countries export values, for 34 commodities contain in the agriculture, fertilizer, and metals and minerals indices.",World Bank.
KINONFUEL,"Non-energy commodities, 2000=100, constant 2000$",,World Bank.
ORANGE,"Oranges, $/mt, current","Oranges (Mediterranean exporters) navel, EEC indicative import price, c.i.f. Paris","INTERFEL, Fel Actualite hebdo; FRuiTrop; Marche Europeens Des Fruits et Legumes; World Bank."
KORANGE,"Oranges, $/mt, constant 2000$",,World Bank.
PALM_OIL,"Palm oil, $/mt, current","Palm oil (Malaysia), 5% bulk, c.i.f. N. W. Europe","ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank."
